"grid_id","consumption","max","mean","min","new1","new_month","day"
1001,0.120416666666667,15,10,4,"2009-10-13","Oct-9","13"
1524,0.4365,15,10,4,"2009-10-13","Oct-9","13"
1821,0.1221875,15,10,4,"2009-10-13","Oct-9","13"
1000,0.221854166666667,14,13,12,"2009-10-14","Oct-9","14"
1001,0.1453125,14,13,12,"2009-10-14","Oct-9","14"
1524,0.9695,14,13,12,"2009-10-14","Oct-9","14"
1821,0.159541666666667,14,13,12,"2009-10-14","Oct-9","14"
1000,0.211020833333333,14,12,11,"2009-10-15","Oct-9","15"
1001,0.1281875,14,12,11,"2009-10-15","Oct-9","15"
1524,0.556666666666667,14,12,11,"2009-10-15","Oct-9","15"
1821,0.1064375,14,12,11,"2009-10-15","Oct-9","15"
1000,0.202895833333333,14,9,4,"2009-10-16","Oct-9","16"
1001,0.129,14,9,4,"2009-10-16","Oct-9","16"
1524,0.903791666666667,14,9,4,"2009-10-16","Oct-9","16"
1821,0.0187291666666667,14,9,4,"2009-10-16","Oct-9","16"
1000,0.3225,13,8,2,"2009-10-17","Oct-9","17"
1001,0.131833333333333,13,8,2,"2009-10-17","Oct-9","17"
1524,0.0412083333333333,13,8,2,"2009-10-17","Oct-9","17"
1821,0.021625,13,8,2,"2009-10-17","Oct-9","17"
1000,0.233666666666667,13,8,3,"2009-10-18","Oct-9","18"
1001,0.1323125,13,8,3,"2009-10-18","Oct-9","18"
1524,0.0172708333333333,13,8,3,"2009-10-18","Oct-9","18"
1821,0.0639791666666667,13,8,3,"2009-10-18","Oct-9","18"
1000,0.2270625,14,12,10,"2009-10-19","Oct-9","19"
1001,0.1305625,14,12,10,"2009-10-19","Oct-9","19"
1524,0.363270833333333,14,12,10,"2009-10-19","Oct-9","19"
1821,0.096,14,12,10,"2009-10-19","Oct-9","19"
1000,0.242520833333333,14,12,9,"2009-10-20","Oct-9","20"
1001,0.1290625,14,12,9,"2009-10-20","Oct-9","20"
1524,0.362208333333333,14,12,9,"2009-10-20","Oct-9","20"
1821,0.123791666666667,14,12,9,"2009-10-20","Oct-9","20"
1000,0.192875,13,11,9,"2009-10-21","Oct-9","21"
1001,0.1360625,13,11,9,"2009-10-21","Oct-9","21"
1524,1.03995833333333,13,11,9,"2009-10-21","Oct-9","21"
1821,0.110979166666667,13,11,9,"2009-10-21","Oct-9","21"
1000,0.162041666666667,13,10,7,"2009-10-22","Oct-9","22"
1001,0.1366875,13,10,7,"2009-10-22","Oct-9","22"
1524,0.5134375,13,10,7,"2009-10-22","Oct-9","22"
1821,0.148604166666667,13,10,7,"2009-10-22","Oct-9","22"
1000,0.145729166666667,13,10,7,"2009-10-23","Oct-9","23"
1001,0.130041666666667,13,10,7,"2009-10-23","Oct-9","23"
1524,0.751416666666667,13,10,7,"2009-10-23","Oct-9","23"
1821,0.0136458333333333,13,10,7,"2009-10-23","Oct-9","23"
1000,0.1990625,16,14,11,"2009-10-24","Oct-9","24"
1001,0.133895833333333,16,14,11,"2009-10-24","Oct-9","24"
1524,0,16,14,11,"2009-10-24","Oct-9","24"
1821,0.0181875,16,14,11,"2009-10-24","Oct-9","24"
1000,0.3889375,13,12,10,"2009-10-25","Oct-9","25"
1001,0.132708333333333,13,12,10,"2009-10-25","Oct-9","25"
1524,0,13,12,10,"2009-10-25","Oct-9","25"
1821,0.009625,13,12,10,"2009-10-25","Oct-9","25"
1000,0.205791666666667,14,12,10,"2009-10-26","Oct-9","26"
